State,Year,Age,Type of Disorder,Sex,Type of Mental Disorder,Occupation,"New cases per 100,000","New Cases / 100,000",
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.3670421,363,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.7692296,363,
Uttarakhand,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.7373661,363,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,361.1115698,361,
Other Union Territories,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,362.6814209,362,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.3285494,363,
Assam,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,365.3667729,365,
Delhi,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,360.6136274,360,
Goa,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,253.6407311,253,
Haryana,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,362.1029857,362,
Karnataka,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,362.2171216,362,
Kerala,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,421.3315709,421,
Maharashtra,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,361.4250319,361,
Manipur,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,437.4716326,437,
Meghalaya,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.4935213,363,
Mizoram,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,362.6065792,362,
Nagaland,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.1896643,363,
Odisha,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.0511461,363,
Punjab,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,320.4927157,320,
Rajasthan,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,406.4704046,406,
Sikkim,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,362.2188697,362,
Tamil Nadu,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,328.2859849,328,
Tripura,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.5783831,363,
West Bengal,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,342.2289421,342,
Bihar,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,362.7176095,362,
Chhattisgarh,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,249.5246532,249,
Jharkhand,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,418.1335549,418,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,260.8777232,260,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,309.381535,309,
Gujarat,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,295.3536836,295,
Telangana,2019,10-14 y,Mental Disorder,Male,Anxiety disorders,School Student,363.2739628,363,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,553.6667336,553,
Arunachal Pradesh,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,555.3481419,555,
Uttarakhand,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,555.1411995,555,
Himachal Pradesh,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,554.2505974,554,
Other Union Territories,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,554.2222185,554,
Andhra Pradesh,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,555.06242,555,
Assam,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,552.8414428,552,
Delhi,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,554.7852632,554,
Goa,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,389.3568889,389,
Haryana,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,553.263644,553,
Karnataka,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,551.9262456,551,
Kerala,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,738.9508628,738,
Maharashtra,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,553.4876767,553,
Manipur,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,739.9801234,739,
Meghalaya,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,555.0280582,555,
Mizoram,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,553.6075312,553,
Nagaland,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,554.4155176,554,
Odisha,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,554.1290816,554,
Punjab,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,491.4605408,491,
Rajasthan,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,598.2927842,598,
Sikkim,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,552.364426,552,
Tamil Nadu,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,552.9674909,552,
Tripura,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,553.2913426,553,
West Bengal,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,621.3010024,621,
Bihar,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,555.1375135,555,
Chhattisgarh,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,408.0977802,408,
Jharkhand,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,599.3342403,599,
Madhya Pradesh,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,389.7608532,389,
Uttar Pradesh,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,545.0823095,545,
Gujarat,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,515.6766218,515,
Telangana,2019,10-14 y,Mental Disorder,Female,Anxiety disorders,School Student,552.8068718,552,
Jammu & Kashmir and Ladakh,2019,10-14 y,Mental Disorder,Male,Bipolar disorder,School Student,52.22485998,52,
