mal_id,mal_id_recomm,votes
1550,20583,2
1550,2402,1
1550,3009,1
2406,951,1
2406,6149,1
2406,6625,1
9895,23061,1
9895,7025,1
9895,6666,1
2830,2611,1
30327,29619,1
2402,263,8
2402,36563,7
2402,6114,5
2402,22135,3
2402,5941,2
2402,40729,2
2402,2938,1
2402,1550,1
2402,627,1
2402,3009,1
2402,6055,1
2402,1491,1
2402,2618,1
2402,1453,1
2402,135,1
2402,57,1
2402,2001,1
2402,3213,1
2402,25,1
2402,311,1
2402,427,1
2402,3819,1
2402,967,1
2402,1650,1
2402,23,1
2402,22831,1
2402,6076,1
2406,951,1
2406,6149,1
2406,6625,1
3858,2571,3
3858,307,1
2316,2116,2
42919,18619,1
2406,951,1
2406,6149,1
2406,6625,1
2755,3910,2
2755,3038,1
2406,951,1
2406,6149,1
2406,6625,1
2406,951,1
2406,6149,1
2406,6625,1
3842,13169,1
3842,1030,1
29617,42836,1
29617,22179,1
29617,31687,1
29617,29619,1
29617,29615,1
7779,6262,1
29619,30327,1
29619,29617,1
2406,951,1
2406,6149,1
2406,6625,1
3819,48675,1
3819,2402,1
8436,80,1
2406,951,1
2406,6149,1
2406,6625,1
1412,1,10
1412,4240,2
1412,2043,2
1412,5343,2
1412,2451,2
1412,40052,2
1412,1972,1
1412,24909,1
1412,3313,1
1412,1194,1
1412,650,1
1412,21,1
1412,1483,1
1412,324,1
1412,4646,1
1412,522,1
1412,567,1
1412,16211,1
2406,951,1
2406,6149,1
2406,6625,1
6971,32768,1
1537,589,2
1537,5267,1
1537,2487,1
5476,29995,1
36392,36357,1
2406,951,1
2406,6149,1
2406,6625,1
15021,19279,1
15021,13789,1
15021,23285,1
7025,601,2
7025,6953,2
7025,40028,1
7025,7811,1
7025,9895,1
7025,6950,1
7171,6680,1
7171,7170,1
22255,22157,1
22255,21831,1
22255,841,1
36400,36808,1
2406,951,1
2406,6149,1
2406,6625,1
2718,3194,1
2252,603,1
2252,956,1
2252,392,1
2252,2012,1
2252,1661,1
2252,1244,1
2252,1628,1
2252,2253,1
2252,1048,1
2406,951,1
2406,6149,1
2406,6625,1
2611,523,5
2611,2830,1
2611,12815,1
2389,4808,1
2389,4810,1
2389,1458,1
2389,19365,1
2389,4981,1
2389,218,1
2406,951,1
2406,6149,1
2406,6625,1
5618,18679,1
5618,501,1
2253,80,2
2253,5040,1
2253,10763,1
2253,3579,1
2253,2252,1
2253,4198,1
2406,951,1
2406,6149,1
2406,6625,1
307,3858,1
307,2199,1
7258,22165,1
29615,29617,1
3220,35120,4
3220,3914,3
3220,13203,3
3220,885,3
3220,437,2
3220,21591,1
3220,228,1
3220,2621,1
3220,440,1
3220,441,1
3220,4498,1
3220,530,1
3220,2246,1
