season,year,month,hour,holiday,workingday,weather,temp,feel_temp,humidity,windspeed,count
Summer,2011,January,0,No,Monday,Clear Skies,9.84,14.395,0.81,0.0,16
Summer,2011,January,1,No,Monday,Clear Skies,9.02,13.635,0.8,0.0,40
Summer,2011,January,2,No,Monday,Clear Skies,9.02,13.635,0.8,0.0,32
Summer,2011,January,3,No,Monday,Clear Skies,9.84,14.395,0.75,0.0,13
Summer,2011,January,4,No,Monday,Clear Skies,9.84,14.395,0.75,0.0,1
Summer,2011,January,5,No,Monday,Precipitation with Clouds,9.84,12.879999999999999,0.75,6.0032,1
Summer,2011,January,6,No,Monday,Clear Skies,9.02,13.635,0.8,0.0,2
Summer,2011,January,7,No,Monday,Clear Skies,8.200000000000001,12.879999999999999,0.86,0.0,3
Summer,2011,January,8,No,Monday,Clear Skies,9.84,14.395,0.75,0.0,8
Summer,2011,January,9,No,Monday,Clear Skies,13.120000000000001,17.424999999999997,0.76,0.0,14
Summer,2011,January,10,No,Monday,Clear Skies,15.58,19.695,0.76,16.997899999999998,36
Summer,2011,January,11,No,Monday,Clear Skies,14.76,16.665,0.81,19.0012,56
Summer,2011,January,12,No,Monday,Clear Skies,17.22,21.21,0.77,19.0012,84
Summer,2011,January,13,No,Monday,Precipitation with Clouds,18.86,22.725,0.72,19.999499999999998,94
Summer,2011,January,14,No,Monday,Precipitation with Clouds,18.86,22.725,0.72,19.0012,106
Summer,2011,January,15,No,Monday,Precipitation with Clouds,18.04,21.97,0.77,19.999499999999998,110
Summer,2011,January,16,No,Monday,Precipitation with Clouds,17.22,21.21,0.82,19.999499999999998,93
Summer,2011,January,17,No,Monday,Precipitation with Clouds,18.04,21.97,0.82,19.0012,67
Summer,2011,January,18,No,Monday,Severe Weather,17.22,21.21,0.88,16.997899999999998,35
Summer,2011,January,19,No,Monday,Severe Weather,17.22,21.21,0.88,16.997899999999998,37
Summer,2011,January,20,No,Monday,Precipitation with Clouds,16.400000000000002,20.455000000000002,0.87,16.997899999999998,36
Summer,2011,January,21,No,Monday,Precipitation with Clouds,16.400000000000002,20.455000000000002,0.87,12.998,34
