,TypeName,Inches,Ram,OpSys,Weight,Price,Screen Height,Screen Width,Cpu GHz,Cpu Name,Memory Type,Memory Size,CPU Company,Has GPU
0,Ultrabook,13.3,8.0,macOS,1.37,71378.6832,1600,2560,2.3,Intel,SSD,128,Intel,0
1,Ultrabook,13.3,8.0,macOS,1.34,47895.5232,900,1440,1.8,Intel,Flash Storage,128,Intel,0
2,Notebook,15.6,8.0,No OS,1.86,30636.0,1080,1920,2.5,Intel,SSD,256,Intel,0
3,Ultrabook,15.4,16.0,macOS,1.83,135195.33599999998,1800,2880,2.7,Intel,SSD,512,Intel,1
4,Ultrabook,13.3,8.0,macOS,1.37,96095.808,1600,2560,3.1,Intel,SSD,256,Intel,0
5,Notebook,15.6,4.0,Windows 10,2.1,21312.0,768,1366,3.0,AMD,HDD,500,AMD,1
6,Ultrabook,15.4,16.0,Mac OS X,2.04,114017.6016,1800,2880,2.2,Intel,Flash Storage,256,Intel,0
7,Ultrabook,13.3,8.0,macOS,1.34,61735.536,900,1440,1.8,Intel,Flash Storage,256,Intel,0
8,Ultrabook,14.0,16.0,Windows 10,1.3,79653.59999999999,1080,1920,1.8,Intel,SSD,512,Intel,1
9,Ultrabook,14.0,8.0,Windows 10,1.6,41025.6,1080,1920,1.6,Intel,SSD,256,Intel,0
10,Notebook,15.6,4.0,No OS,1.86,20986.992,768,1366,2.5,Intel,HDD,500,Intel,0
11,Notebook,15.6,4.0,No OS,1.86,18381.0672,1080,1920,2.0,Intel,HDD,500,Intel,0
12,Ultrabook,15.4,16.0,macOS,1.83,130001.6016,1800,2880,2.8,Intel,SSD,256,Intel,1
13,Notebook,15.6,4.0,Windows 10,2.2,26581.392,1080,1920,2.0,Intel,SSD,256,Intel,1
14,Ultrabook,12.0,8.0,macOS,0.92,67260.672,1440,2304,1.2,Intel,SSD,256,Intel,0
15,Ultrabook,13.3,8.0,macOS,1.37,80908.344,1600,2560,2.3,Intel,SSD,256,Intel,0
16,Notebook,15.6,8.0,Windows 10,2.2,39693.6,1080,1920,2.7,Intel,SSD,256,Intel,1
17,Ultrabook,15.4,16.0,macOS,1.83,152274.24,1800,2880,2.9,Intel,SSD,512,Intel,1
18,Notebook,15.6,8.0,No OS,2.2,26586.72,1080,1920,2.4,Intel,HDD,1024,Intel,1
19,Ultrabook,13.3,8.0,Windows 10,1.22,52161.12,1080,1920,1.6,Intel,SSD,128,Intel,0
20,Netbook,11.6,2.0,Windows 10,0.98,10224.432,768,1366,1.44,Intel,Flash Storage,32,Intel,0
21,Gaming,15.6,8.0,Windows 10,2.5,53226.72,1080,1920,2.5,Intel,Both,1152,Intel,1
22,Notebook,15.6,4.0,No OS,1.86,13746.24,768,1366,1.5,AMD,HDD,500,AMD,1
23,2 in 1 Convertible,13.3,8.0,Windows 10,1.62,43636.32,1080,1920,1.6,Intel,SSD,256,Intel,0
24,Ultrabook,15.6,8.0,Windows 10,1.91,35111.52,1080,1920,1.8,Intel,SSD,256,Intel,0
25,Notebook,15.6,4.0,Windows 10,2.3,22305.1392,768,1366,2.0,Intel,HDD,1024,Intel,0
26,Ultrabook,13.3,8.0,Mac OS X,1.35,58554.72,900,1440,1.6,Intel,Flash Storage,128,Intel,0
27,Notebook,15.6,8.0,Windows 10,2.2,42624.0,1080,1920,1.6,Intel,SSD,256,Intel,1
28,Ultrabook,15.6,8.0,Windows 10,1.88,69157.44,1080,1920,1.9,Intel,SSD,512,Intel,0
29,Notebook,17.3,8.0,Windows 10,2.5,47738.88,1080,1920,1.6,Intel,HDD,1024,Intel,1
30,Notebook,15.6,4.0,Windows 10,1.89,13053.0672,1080,1920,1.44,Intel,Flash Storage,64,Intel,0
31,Notebook,14.0,2.0,Windows 10,1.65,10602.72,768,1366,1.5,AMD,Flash Storage,32,AMD,1
32,Notebook,17.3,4.0,Windows 10,2.71,23389.92,1080,1920,2.5,AMD,HDD,500,AMD,1
33,Ultrabook,13.3,16.0,Windows 10,1.2,99580.32,1800,3200,1.8,Intel,SSD,512,Intel,0
34,Ultrabook,13.3,8.0,Mac OS X,1.35,53173.44,900,1440,1.6,Intel,Flash Storage,256,Intel,0
35,Notebook,14.0,4.0,Windows 10,1.44,13266.72,768,1366,1.1,Intel,Flash Storage,64,Intel,0
36,Notebook,15.6,4.0,Linux,2.1,19553.76,768,1366,2.7,Intel,HDD,1024,Intel,0
37,Notebook,17.3,8.0,Windows 10,2.8,52161.12,1080,1920,1.6,Intel,Both,1152,Intel,1
38,Notebook,15.6,4.0,Windows 10,1.86,26037.4032,768,1366,2.5,Intel,HDD,1024,Intel,0
39,Notebook,15.6,8.0,Windows 10,2.1,46833.12,1080,1920,1.6,Intel,SSD,256,Intel,1
40,Notebook,15.6,4.0,Linux,2.0,20725.92,1080,1920,2.0,Intel,HDD,1024,Intel,0
41,Gaming,15.6,16.0,Windows 10,2.65,79866.72,1080,1920,2.8,Intel,Both,1280,Intel,1
42,Notebook,15.6,8.0,Linux,2.3,27864.9072,768,1366,2.5,Intel,HDD,1024,Intel,1
43,Notebook,15.6,4.0,Windows 10,2.2,36336.96,1080,1920,1.6,Intel,SSD,256,Intel,0
44,2 in 1 Convertible,17.3,12.0,Windows 10,2.77,53226.72,1080,1920,1.6,Intel,HDD,1024,Intel,1
45,Ultrabook,13.3,8.0,macOS,1.37,75604.31999999999,1600,2560,2.0,Intel,SSD,256,Intel,0
46,Notebook,15.6,4.0,No OS,2.2,19660.32,768,1366,2.0,Intel,SSD,128,Intel,0
47,Gaming,17.3,8.0,Windows 10,3.2,69210.72,1080,1920,3.0,AMD,Both,1280,AMD,1
48,Notebook,15.6,4.0,Windows 10,2.3,34045.92,1080,1920,2.5,Intel,SSD,256,Intel,1
49,Notebook,17.3,4.0,Windows 10,2.8,24828.48,768,1366,1.1,Intel,HDD,1024,Intel,1
50,2 in 1 Convertible,10.1,4.0,Android,0.69,16996.32,1200,1920,1.44,Intel,Flash Storage,64,Intel,0
51,Notebook,15.6,8.0,Windows 10,2.2,44808.48,1080,1920,1.8,Intel,SSD,256,Intel,1
52,Notebook,15.6,4.0,Windows 10,1.86,21231.5472,1080,1920,2.5,AMD,SSD,256,AMD,1
53,Notebook,13.3,8.0,Windows 10,1.49,58767.84,1080,1920,1.8,Intel,SSD,512,Intel,0
54,Notebook,15.6,4.0,Windows 10,2.4,20459.52,768,1366,2.4,Intel,HDD,1024,Intel,0
55,Notebook,15.6,8.0,Windows 10,2.13,40908.384,1080,1920,1.8,Intel,SSD,256,Intel,1
