Username,Channel Name,Country,Url,Main topic,Main video category,Likes,Likes Avg.,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days)
cristiano,cristiano,ES,https://www.instagram.com/cristiano,Sports,Sports,22876451727.2491,8671952.6875,3328,465027234,92,51758.33092659446,17009493.6,,,3321113.0,5327340.25,6948658.866666666,0.014915592190075688,0.015903092793121323
kyliejenner,kyliejenner,US,https://www.instagram.com/kyliejenner,,,43048545078.884834,8296735.662500001,6921,356687629,91,47534.12096106048,22875472.888888888,,,1223002.0,2196528.5,4692458.947368421,0.017617215254941837,0.016188635009695234
leomessi,leomessi,,https://www.instagram.com/leomessi,,,4670492197.167756,6895177.8125,875,347032978,90,47044.540305010894,11761596.368932039,,4810554.0,3199807.0,5359468.6,5668453.857142857,0.015533561657092005,0.019045021275040284
selenagomez,selenagomez,US,https://www.instagram.com/selenagomez,,,8442642602.700295,6252711.416666667,1835,334551681,93,39167.115727002965,10723973.0,,,,2340219.0,2340219.0,0.013912686902970844,0.007719661583597468
therock,therock,US,https://www.instagram.com/therock,,,9562231242.147408,1874150.5038461538,6660,327064138,91,8529.747042766152,5413831.362873134,,,713970.0,1101338.5555555555,1165227.3846153845,0.004425938426896481,0.0037225454671269563
kimkardashian,kimkardashian,US,https://www.instagram.com/kimkardashian,,,14920061390.578411,3536820.0625,5603,323090977,91,16964.807439824945,9642516.175438596,,2583151.0,2699977.6666666665,2704005.272727273,2586789.375,0.008303644828516955,0.00968886345202519
arianagrande,arianagrande,US,https://www.instagram.com/arianagrande,,,14762818149.337849,3712125.9285714286,4961,321374794,92,19077.731583403896,6654929.029801325,,,3813109.0,3813109.0,3384398.0,0.009325676729736969,0.010157909564000565
beyonce,beyonce,US,https://www.instagram.com/beyonce,,,5779974409.281899,3627594.6666666665,2036,267023539,92,24558.145400593472,8767897.17142857,,,4311158.0,4311158.0,1686724.1538461538,0.010757704143584734,0.006770543350034715
khloekardashian,khloekardashian,US,https://www.instagram.com/khloekardashian,Sports,Sports,6914667302.569231,2391194.0,4092,260359924,89,10442.211538461539,7593868.457142857,,,,,,0.006556504047279153,0.003111744186636947
kendalljenner,kendalljenner,US,https://www.instagram.com/kendalljenner,,,2743201319.5703325,5520992.5,666,247599374,90,21191.329923273657,14428678.314285714,,6702150.0,6347174.5,5977548.25,5058515.428571428,0.016728936005675127,0.01933898154706844
justinbieber,justinbieber,CA,https://www.instagram.com/justinbieber,,,11114108294.355661,1887637.6785714286,7305,247448517,91,10084.746268656716,4337923.862934363,,,,,1415614.875,0.006190988340030831,0.004042317516819102
natgeo,natgeo,US,https://www.instagram.com/natgeo,Education,Education,2521782123.105974,304664.0,10002,232020700,91,1225.2342857142858,2345345.4444444445,58181.0,95034.3,111805.92307692308,138451.37735849057,158992.71028037384,0.0010919625970223642,0.0007261997482379968
nike,nike,US,https://www.instagram.com/nike,Sports,Sports,298611326.8387097,333382.0,932,228524022,90,5520.935483870968,2638441.2735849055,,,300163.3333333333,273080.0,236986.66666666666,0.0014312255747742483,0.0007551843648689484
taylorswift,taylorswift,US,https://www.instagram.com/taylorswift,,,1037365487.68,2397441.0,537,218097325,91,334.73,7916979.966666667,,,,2049206.0,2049206.0,0.008864362668500655,0.01728258405658807
jlo,jlo,US,https://www.instagram.com/jlo,Music,Music,4015633611.2335486,1691841.5,3151,217547805,89,11942.84,6363148.909937888,,,,688847.0,812984.6,0.005914066125039666,0.005410155380739634
virat.kohli,virat.kohli,,https://www.instagram.com/virat.kohli,Education,Education,3592490224.8141594,3472381.5,1390,206743723,87,18090.06725663717,4841319.094240838,,,2740001.0,2874632.0,2210917.5,0.012603388646202708,0.011349234728847963
nickiminaj,nickiminaj,US,https://www.instagram.com/nickiminaj,Trailers,Trailers,10280946999.02109,2161401.25,6327,197697257,90,19624.634446397187,6688655.284974094,,,,,,0.008325349582187308,0.006336257071398504
kourtneykardash,kourtneykardash,US,https://www.instagram.com/kourtneykardash,,,6239027312.050234,1767538.4642857143,4349,188868254,89,6616.927570093458,5363247.323529412,,,,916201.0,1118825.75,0.00763877184974732,0.012606993862734497
